Entity ID,Entity,Payoff,Product IDs,Internal Product ID,Product Name,Underlying(s),Product Creator,Product Create Time,Product Modify Time,Traded,KID Creator,KID Lang,KID Publish Time,Notional CCY,Notional Amount,FX Rate,Notional (EUR),Moderate Price (%),Moderate Return,RIY @RHP (%),KID Date,SRI
73,CA-CIB,EMTN - Twin Win CPN,Internal Code-bpTQiZlH,95865,EMTN - 1.5 SPX Twin Win Capital Protected, SPX Index,BADRAN George,9/14/2018,9/14/2018,,NULL,NULL,NULL,USD,NULL,1.1747,NULL,117.99,11.63,0.94,9/14/2018,2
73,CA-CIB,EMTN - Twin Win Note,Internal Code-KBd8Z4Sr,95863,EMTN - 1.5Y SPX Twin Win Note, SPX Index,BADRAN George,9/14/2018,9/14/2018,,NULL,NULL,NULL,USD,NULL,1.1747,NULL,117.99,11.63,0.94,9/14/2018,2
73,CA-CIB,EMTN - Digital Note (Equity),Internal Code-7iZVXdSP,95500,EMTN - 10Y EUR SX5E , SX5E Index,BADRAN George,8/9/2018,8/9/2018,,NULL,NULL,NULL,EUR,NULL,1,NULL,127.65,2.46,0.27,8/9/2018,2
73,CA-CIB,EMTN - CLN on Single,ISIN Code-XS1803955555,95549,EMTN - 2Y CHF CLN  - Rep Italy , ITGV5YUSAC=R,BADRAN George,8/15/2018,9/20/2018,,NULL,NULL,NULL,CHF,NULL,1.13303,NULL,101.33,0.6,0.39,9/20/2018,3
73,CA-CIB,EMTN - Income Floating Range Accrual (IR),ISIN Code-XS1803953428,95531,EMTN - 2Y FRN RA -30/2 CMS ," US0003M Index, USSWAP2 Curncy, USSW30 Curncy",BADRAN George,8/13/2018,8/13/2018,,NULL,NULL,NULL,USD,NULL,1.154,NULL,101.05,0.52,0.53,8/13/2018,2
73,CA-CIB,EMTN - Twin Win Note,Internal Code-SKveMEdB,95590,EMTN - 2Y USD Twin Win Note SX7E , SX7E Index,BADRAN George,8/20/2018,8/20/2018,,NULL,NULL,NULL,USD,NULL,1.1602,NULL,110.46,5.1,0.26,8/20/2018,6
73,CA-CIB,EMTN - Income Floating Range Accrual (IR),Internal Code-RvB2caj0,95646,EMTN - 2YNC1Y USD CRAN ," US0003M Index, US0003M Index",BADRAN George,8/24/2018,8/24/2018,,NULL,NULL,NULL,USD,NULL,1.1623,NULL,102.68,1.33,0.59,8/24/2018,1
73,CA-CIB,EMTN - CLN on Index,Internal Code-XS1810546629I,95947,EMTN - 3Y CLN on Itraxx Xover S30, ITEXO5Y28=R,BADRAN George,9/21/2018,9/21/2018,,NULL,NULL,NULL,USD,NULL,1.1747,NULL,NULL,NULL,NULL,NULL,NULL
73,CA-CIB,EMTN - Autocall Twin Win,Internal Code-ytO3BT6m,95539,EMTN - 3Y qGBP SX5E Autocall Twin Win, SX5E Index,BADRAN George,8/14/2018,8/14/2018,,NULL,NULL,NULL,GBP,NULL,0.90583,NULL,108.86,2.86,0.48,8/20/2018,5
73,CA-CIB,EMTN - Income Floating Range Accrual (IR),Internal Code-XS1803954822,95660,EMTN - 3YNC1 30/2 CMS RA  ," US0003M Index, USSW30 Curncy, USSW2 Curncy",BADRAN George,8/28/2018,8/28/2018,,NULL,NULL,NULL,USD,NULL,1.1594,NULL,101.95,0.64,0.35,9/6/2018,2
73,CA-CIB,EMTN - Income Floating Range Accrual (IR),ISIN Code-XS1803954822 (r),95669,EMTN - 3YNC1 30/2 CMS RA  ," US0003M Index, USSW30 Curncy, USSW2 Curncy",Milena EMILOVA,8/28/2018,8/29/2018,,NULL,NULL,NULL,USD,NULL,1.1594,NULL,100.94,0.31,0.35,8/29/2018,2
